001 第一回　　鬼有三德　後升城隍　巡江查察　受封河道
002 第二回　　地藏賜符　城隍接禮　判斷陰陽　收除六害
003 第三回　　專造偽銀　上天難恕　移開勾獲　定其罪名
004 第四回　　路逢白骨　脫衣遮蓋　因功上奏　以顯後裔
005 第五回　　急難相周　謝恩脫苦　喜捨棺木　加壽四紀
006 第六回　　途遇屍骸　備棺收殮　賊人謀害　水鬼救護
007 第七回　　惡婦毒心　陰陽昭報　柳金鬱陷　祁婦含冤
008 第八回　　柳金托夢　報夫報母　助黃必貴　一舉成名
009 第九回　　積德累功　天賜麒麟　修築江墳　鬼來助嗣
010 第十回　　六夷騙扇　婦鬼雪冤　恩報關定　結果圓成
011 第十一回　　僖宗即位　開科取士　文武二場　出榜招賢
012 第十二回　　招容小姐　紅梅折贈　順興公子　怒打聘禮
013 第十三回　　透開金鎖　私放裴生　惠娘奉旨　以雪前冤
014 第十四回　　曹二奸賊　誘夫奪色　文正屈陷　包公雪冤
015 第十五回　　土惡楊昌　送肉投砧　清官明察　救活六犯
016 第十六回　　倪太守謙　古稀餘九　受納偏房　結子聯成
017 第十七回　　善繼欺弟　家業不平　母子商酌　公堂訴情
018 第十八回　　畫圖啞偈　作鬼分家　暗謀先定　判斷明證
