001 第一回　　掛彈章一書忤朝貴　謫天山萬里苦風霜
002 第二回　　轉天心名士唱刀環　入皇都庸奴求副憲
003 第三回　　劉益三有意激從軍　吳子銘夢中施警炮
004 第四回　　吳子銘一怒懲劣幕　宣蘭生竭力救同鄉
005 第五回　　江念祖投筆從戎　宗寶棠捐軀報國
006 第六回　　江參謀營外豎降旗　甄總統退兵失平壤
007 第七回　　宣桂生血染遼陽草　甄士貴冤上斷頭台
008 第八回　　呂仰正怒拳賣國賊　陳彩林受騙黑心奴
009 第九回　　紅幕僚覷顏稱代表　副領事得意娶秋娘
010 第十回　　安弼士當筵見名妓　江念祖無恥掉槍花
011 第十一回　　陳彩林違心彈別調　江司馬老臉站香班
012 第十二回　　說嫖經風俗感遷移　爭口角冤家逢狹路
013 第十三回　　綽乾趣太監鬧姑娘　逐奸奴同鄉傳草檄
014 第十四回　　磕響頭額間留影　吃花酒席上驚魂
015 第十五回　　孟觀察倒霉逢潑婦　張夫人仗義奪孤兒
016 第十六回　　宣小姐含酸撒潑　呂中書告假還鄉
017 第十七回　　女怪物筋斗跌當場　花冠軍蘇台占風月
018 第十八回　　龔維藩當差嫖院　程公子吃醋發標
019 第十九回　　桃花人面雀護重來　璧合珠聯真娘下嫁
020 第二十回　　嫁王孫夜走名姝　失優差痰迷心竅
021 第二十一回　　喬小姐信口開河　江念祖謀差竭貴
022 第二十二回　　江總巡狂敲竹槓　寶太守巧運奇謀
023 第二十三回　　江穎甫覥顏回籍　端明寺納垢藏污
024 第二十四回　　歪和尚見色迷心　無恥奴瞞天設計
025 第二十五回　　淫賊禿全傾積世資　假文君巧合連環計
026 第二十六回　　搭航船當面罵奸徒　爭布被暗中施鬼蜮
027 第二十七回　　動官刑當堂負屈　罵山門小子受欺
028 第二十八回　　掉槍花訟棍多謀　惡報仇鄉人嚐糞
029 第二十九回　　伍作霖快意報睚眥　趙北山中年生逆子
030 第三十回　　名訟師苦心授密計　不孝兒利口辯冤情
031 第三十一回　　德太尊愛民拿訟棍　伍孝廉大膽到公堂
032 第三十二回　　定爰書除害禁奸徒　擁厚資還鄉游勝地
033 第三十三回　　餘季瑞買產中陰謀　江念祖喪心賺良友
034 第三十四回　　總領事議和全大局　賢制軍立約保長江
035 第三十五回　　癡公子忽遇瞞天網　呆觀察痛失昧心錢
036 第三十六回　　獲鹿縣洋兵圍電局　趙壽萱警報受虛驚
037 第三十七回　　趙壽萱深宵窺秘戲　林良棟見色起淫心
038 第三十八回　　王三錫全家遭慘禍　宣蘭生設法誘姦奴
039 第三十九回　　誅國賊涼血濺驢頭　賣風情華妝游馬路
040 第四十回　　楊小姐無心隨惡棍　邵梓玉開眼做烏龜
