001 濟公活佛傳奇錄 15370 第一回 　　靜中動羅漢投胎　來處去高僧辭世
002 濟公活佛傳奇錄 15371 第二回 　　茅屋兩言明佛性　靈光一點逗禪機
003 濟公活佛傳奇錄 15372 第三回 　　近戀親守身盡孝　遠從師落髮歸宗
004 濟公活佛傳奇錄 15373 第四回 　　坐不通勞心苦惱　悟得徹露相佯狂
005 濟公活佛傳奇錄 15374 第五回 　　有感通唱歌度世　無執著拂棋西歸
006 濟公活佛傳奇錄 15375 第六回 　　掃得開突然便去　放不下依舊再來
007 濟公活佛傳奇錄 15376 第七回 　　色不迷情心愈定　酒難醉性道偏醒
008 濟公活佛傳奇錄 15377 第八回 　　施綾絹乞兒受恩　化鹽菜濟公被逐
009 濟公活佛傳奇錄 15378 第九回 　　不甘欺侮入淨慈　喜發慈悲造藏殿
010 濟公活佛傳奇錄 15379 第十回 　　顯神通太后施錢　轉輪迴蛤蟆下火
011 濟公活佛傳奇錄 15380 第十一回 　　解僧饞貴人施筍　觸鐵牛太守伐松
012 濟公活佛傳奇錄 15381 第十二回 　　佛力顛中收萬法　禪心醉裏指無明
013 濟公活佛傳奇錄 15382 第十三回 　　松長老欣飛錫杖　濟師父怒打酒缸
014 濟公活佛傳奇錄 15383 第十四回 　　榜文叩閽驚天子　酒令參禪動宰官
015 濟公活佛傳奇錄 15384 第十五回 　　顯神通醉後裝金　解冤結死人走路
016 濟公活佛傳奇錄 15385 第十六回 　　不避嫌裸體治癆　恣無禮大言供狀
017 濟公活佛傳奇錄 15386 第十七回 　　死夫妻訂盟後世　勇將軍轉蠢成靈
018 濟公活佛傳奇錄 15387 第十八回 　　徐居士疏求度牒　張提點醉索題詩
019 濟公活佛傳奇錄 15388 第十九回 　　救人不徹因天數　悔予多端懶看山
020 濟公活佛傳奇錄 15389 第二十回 　　來去明一笑歸真　感應神千秋顯聖
