001 梅蘭佳話 1630 第一段 　　坦東床梅家結好　遷西泠蘭氏定居
002 梅蘭佳話 1631 第二段 　　游西泠臞翁歸隱　開東閣密友論交
003 梅蘭佳話 1632 第三段 　　憩茅屋逋仙接引　過溪橋臞叟皈依
004 梅蘭佳話 1633 第四段 　　花朝節郊外尋春　貰酒亭溪邊遇柳
005 梅蘭佳話 1634 第五段 　　曲江有約賞煙花　如玉無情對桃李
006 梅蘭佳話 1635 第六段 　　柳曲江讚美人　梅如玉憐好夢
007 梅蘭佳話 1636 第七段 　　銷魂院頻馳意馬　延秋館始遇情魔
008 梅蘭佳話 1637 第八段 　　梅如玉降心桂蕊　桂月香留意梅君
009 梅蘭佳話 1638 第九段 　　詠牡丹句中有句　贈海棠情外留情
010 梅蘭佳話 1639 第十段 　　松風欲合二姓好　艾炙偽作兩邊書
011 梅蘭佳話 1640 第十一段 　　松翠濤為花乞命　桂月香入廟焚香
012 梅蘭佳話 1641 第十二段 　　桂月香作詩寓意　梅如玉觀魚微呤
013 梅蘭佳話 1642 第十三段 　　桂蕊欲作幻想詩　松竹齊到銷魂院
014 梅蘭佳話 1643 第十四段 　　索詩源論可生風　行酒令情深懷古
015 梅蘭佳話 1644 第十五段 　　種翠館良朋仗義　銷魂院竟夜談心
016 梅蘭佳話 1645 第十六段 　　隔藍橋月香莫覯　遊西泠如玉省親
017 梅蘭佳話 1646 第十七段 　　遇美人天臺無路　詠西子古寺造因
018 梅蘭佳話 1647 第十八段 　　瘦翁喜逢神龍客　雪香得近自芳館
019 梅蘭佳話 1648 第十九段 　　嶰谷山金見桂蕊　山嵐泛宅到西泠
020 梅蘭佳話 1649 第二十段 　　梅雪香靜夜聽琴　蘭香谷重陽聯句
021 梅蘭佳話 1650 第二十一段 　　梅雪香自呈詩稿　自芳館細費評論
022 梅蘭佳話 1651 第二十二段 　　蘭瘦翁西湖返棹　梅雪香北舍揮毫
023 梅蘭佳話 1652 第二十三段 　　假秦生傾心求見　好芷馨用意周旋
024 梅蘭佳話 1653 第二十四段 　　思睹面雪香染病　勸行權芷馨進言
025 梅蘭佳話 1654 第二十五段 　　雪香立等意中人　猗猗初見天涯客
026 梅蘭佳話 1655 第二十六段 　　猗猗還稿遣芷馨　雪香因問譽桂蕊
027 梅蘭佳話 1656 第二十七段 　　慕佳人花信求婚　逞絕才雪香擬古
028 梅蘭佳話 1657 第二十八段 　　蘭猗猗論琴入妙　梅雪香取才從寬
029 梅蘭佳話 1658 第二十九段 　　猗猗粉本畫鴛鴦　芷馨良夜送雲雨
030 梅蘭佳話 1659 第三十段 　　就寢室猗猗侍慈母　守舊約桂蕊待梅郎
031 梅蘭佳話 1660 第三十一段 　　遇山嵐因裏話因　辭雪香誤中又誤
032 梅蘭佳話 1661 第三十二段 　　蘭猗猗聞故自悔　梅雪香訪父遇仙
033 梅蘭佳話 1662 第三十三段 　　翠濤獨自尋良友　菊婢中途遇故人
034 梅蘭佳話 1663 第三十四段 　　翠濤阻雪賦新詩　雪香泊船逢故友
035 梅蘭佳話 1664 第三十五段 　　得真信雪香悼桂蕊　尋舊姻瘦翁到羅浮
036 梅蘭佳話 1665 第三十六段 　　西子廟二美識面　自芳館兩人含情
037 梅蘭佳話 1666 第三十七段 　　試鴻博聯綴巍科　念糟糠力辭相府
038 梅蘭佳話 1667 第三十八段 　　梅雪香重到西泠　蘭瘦翁初識快婿
039 梅蘭佳話 1668 第三十九段 　　會佳期得遂夙姻　謁山嵐重逢桂蕊
040 梅蘭佳話 1669 第四十段 　　返羅浮妻妾齊美　告終養翁婿同居
