001 雪月梅 1713 第一回 　　岑秀才奉母避冤讎　何公子遇仙諧伉儷
002 雪月梅 1714 第二回 　　拆姻緣仙姊失仙蹤　病膏肓家人弄家鬼
003 雪月梅 1715 第三回 　　小女郎生騙別家鄉　老殺才冥責填溝壑
004 雪月梅 1716 第四回 　　失胞親訪舊遇賢東　重世誼留賓報故友
005 雪月梅 1717 第五回 　　攜嬌娃外室慶生辰　遇奸徒長江遭陷害
006 雪月梅 1718 第六回 　　毒中毒強盜弄機關　詐裏詐浪婦排圈套
007 雪月梅 1719 第七回 　　施巧計蠢金夫著魔　設暗局俏佳人受騙
008 雪月梅 1720 第八回 　　許雪姐僥倖全弱質　曹偉如得意逞豪華
009 雪月梅 1721 第九回 　　無情棒妒婦肆兇威　送命絛嬌姿瘞荒塚
010 雪月梅 1722 第十回 　　戲嬌姿眾狂鬼欺孤　憐弱質老封君認女
011 雪月梅 1723 第十一回 　　遇萍蹤英雄雙結義　報凶信郎舅兩傷心
012 雪月梅 1724 第十二回 　　金蘭誼拜兩姓先塋　兒女情託三樁後事
013 雪月梅 1725 第十三回 　　踐冥約三姓喜奇逢　返香魂千秋稱異事
014 雪月梅 1726 第十四回 　　回陽世義妹勝同胞　遇異鄉賢東成至戚
015 雪月梅 1727 第十五回 　　試鐵弓叔侄顯英雄　解玉環劉蘇結秦晉
016 雪月梅 1728 第十六回 　　扣禪關菩提三指覺　施武勇英傑兩傾心
017 雪月梅 1729 第十七回 　　灑別淚征途重氣誼　敘情腸繡閣惜分離
018 雪月梅 1730 第十八回 　　乍施威強徒齊授首　重聚義昆季共銜杯
019 雪月梅 1731 第十九回 　　廉縣令因公留壯士　賢操江為國舉英才
020 雪月梅 1732 第二十回 　　殷壯士立功辭叔嬸　程察院破格重英雄
021 雪月梅 1733 第二十一回 　　識英雄海疆當險要　遇弟妹湖畔訴衷情
022 雪月梅 1734 第二十二回 　　識小妹征棹解離愁　得嬌女慈幃添喜色
023 雪月梅 1735 第二十三回 　　華秋英急智刺淫倭　何仙姊幻形救淑女
024 雪月梅 1736 第二十四回 　　說兵機無心得佳偶　設險伏有志建奇功
025 雪月梅 1737 第二十五回 　　喜聚首最苦別離多　望音書偏嘆鱗鴻杳
026 雪月梅 1738 第二十六回 　　報遠信巧遇遠歸人　覓幽棲專拜幽居叟
027 雪月梅 1739 第二十七回 　　老道學論交成水乳　小仙娃識相別賢愚
028 雪月梅 1740 第二十八回 　　去炎威故裏訪親知　納清原異鄉逢骨肉
029 雪月梅 1741 第二十九回 　　俏嬌娃拜繼老夫人　賢能婦管教獃公子
030 雪月梅 1742 第三十回 　　真鐵口五星斷休咎　程操江一語解紛爭
031 雪月梅 1743 第三十一回 　　愛才華覿面許東床　感恩義真心虛左席
032 雪月梅 1744 第三十二回 　　親上親才郎求月老　喜中喜表妹作新人
033 雪月梅 1745 第三十三回 　　王進士挈家為縣令　岑秀才奉旨作中書
034 雪月梅 1746 第三十四回 　　報喜信獃叔認重親　問病源慈幃失二豎
035 雪月梅 1747 第三十五回 　　試奇文才子吐心胸　論往事英雄增氣色
036 雪月梅 1748 第三十六回 　　探親知真心勸豪傑　謁相國要語授英才
037 雪月梅 1749 第三十七回 　　試金殿犀管落珠璣　擾海疆倭寇為狼狽
038 雪月梅 1750 第三十八回 　　重義氣千里冒兇鋒　救急難一身衝險隘
039 雪月梅 1751 第三十九回 　　敘舊事岑母動慈懷　結新知劉生顯神勇
040 雪月梅 1752 第四十回 　　投針芥歸路稟慈親　作書函臨歧薦壯士
041 雪月梅 1753 第四十一回 　　紅娘子得婿畢良姻　醜奴兒愬親求說客
042 雪月梅 1754 第四十二回 　　發倉廩寧海救饑民　糾醜類青山放響馬
043 雪月梅 1755 第四十三回 　　奉天旨縣令擢城隍　設巧計夫人斬倭寇
044 雪月梅 1756 第四十四回 　　貪美色狹路喪兇徒　重英豪平臺試武士
045 雪月梅 1757 第四十五回 　　重恩義客裏寄雙魚　展雄威御前殺二虎
046 雪月梅 1758 第四十六回 　　岑御史遣將救吳門　劉副總統兵誅海寇
047 雪月梅 1759 第四十七回 　　現仙容一劍截魔頭　奮神勇單騎擒積寇
048 雪月梅 1760 第四十八回 　　天緣合仙姥指迷途　惡貫盈倭奴逢殺劫
049 雪月梅 1761 第四十九回 　　渡殘喘一劍化金橋　建奇功九重錫蟒玉
050 雪月梅 1762 第五十回 　　佛菩提慈靈普救度　雪月梅封贈大團圓
