001 黃金世界 17165 第一回 　　喪心作馬騙人也當豬　得意出羊城奴乎非犬
002 黃金世界 17166 第二回 　　謀食舟中初犯禁　醵金道上又當災
003 黃金世界 17167 第三回 　　聞抵制破產東歸　遇鄉親邊牀西笑
004 黃金世界 17168 第四回 　　驀相逢意外緣中　到此地人間天上
005 黃金世界 17169 第五回 　　破鏡忽重圓無限悲歡成一哭　寶山盡空入且留身命問當歸
006 黃金世界 17170 第六回 　　物是人非撫今弔古　形隨步換觸目傷心
007 黃金世界 17171 第七回 　　能有所棄乃為英雄　毋謂無人何來之子
008 黃金世界 17172 第八回 　　弱主遇強賓賓主而今真易位　私情遏公理公私兩字本殊途
009 黃金世界 17173 第九回 　　聊共聯牀話通夕　莫從行野怨三春
010 黃金世界 17174 第十回 　　得海外雙魚老謀宏遠　草燈前一檄苦心分明
011 黃金世界 17175 第十一回 　　發菩提心為眾生請命　運廣長舌願諸君靜聽
012 黃金世界 17176 第十二回 　　何許是之子佳城碧波白浪　空自盼平安尺素粵海金山
013 黃金世界 17177 第十三回 　　通別緒且留尺素　鼓天風忽折竿旗
014 黃金世界 17178 第十四回 　　議疏通中朝騰尺素　掩耳目一紙貼憑單
015 黃金世界 17179 第十五回 　　天降之殃竟夜波濤聽澎湃　女兮何恃一宵情話自纏綿
016 黃金世界 17180 第十六回 　　莫慢潮聲聽歇浦　且將歸思問珠江
017 黃金世界 17181 第十七回 　　此地何地予欲無言　為人在人卿乾甚事
018 黃金世界 17182 第十八回 　　一士作色二士失色　非路為權惟財有權
019 黃金世界 17183 第十九回 　　故鄉事旅人對語　一夕談萬里移家
020 黃金世界 17184 第二十回 　　精衛海潮寒可憐身世　杜鵑山月苦且此婆娑
