001 第一回　　陸都管輔孤忠幼主　冷於冰下第產麟兒
002 第二回　　做壽文才傳僉士口　充幕友身入宰相家
003 第三回　　議賑疏口角出嚴府　失榜首回心守故鄉
004 第四回　　割白鏹旅舍恤寒士　易素服官署哭恩師
005 第五回　　警存亡永矢修行志　囑妻子割斷戀家心
006 第六回　　柳國賓都門尋故主　冷於冰深山遇大蟲
007 第七回　　走荊棘投宿村學社　論詩賦得罪老俗儒
008 第八回　　泰山廟於冰打女鬼　八里鋪俠客趕書生
009 第九回　　吐真情結義連城璧　設假局欺騙冷於冰
010 第十回　　冷於冰食穢吞丹藥　火龍氏傳法賜雷珠
011 第十一回　　仗仙劍柳社收厲鬼　試雷珠佛殿誅妖狐
012 第十二回　　桃仙客龍山燒惡怪　冷於冰玉洞煉神書
013 第十三回　　韓鐵頭大鬧泰安州　連城壁被擒山神廟
014 第十四回　　救難友知州遭戲謔　醫刑傷城璧走天涯
015 第十五回　　金不換掃榻留城璧　冷於冰回鄉探妻兒
016 第十六回　　別難友鳳嶺逢木女　斬妖鼋川江救客商
017 第十七回　　請庸醫文魁毒病父　索賣契淑女入囚牢
018 第十八回　　罵錢奴刎頸全大義　贖烈婦傾囊助多金
019 第十九回　　兄歸鄉胞弟成乞丐　嬸守志親嫂做媒人
020 第二十回　　金不換聞風贈路費　連城璧拒捕戰官軍
021 第二十一回　　信訪查知府開生路　走懷仁不換續妻房
022 第二十二回　　斷離異不換遭刑杖　投運河沈囊得外財
023 第二十三回　　入賭局輸錢賣弟婦　引大盜破產失嬌妻
024 第二十四回　　恤貧兒二士趨生路　送貞婦兩鬼保平安
025 第二十五回　　出祖居文魁思尋弟　見家書卜氏喜留賓
026 第二十六回　　救難裔月夜殺解役　請仙女談笑打權奸
027 第二十七回　　埋骨骸巧遇金不換　設重險聊試道中人
028 第二十八回　　會盟兄喜隨新官任　入賊巢羞見被劫妻
029 第二十九回　　返虞城痛惜親骨肉　回懷慶欣遇舊知交
030 第三十回　　聞叛逆於冰隨征旅　論戰守文煒說軍機
031 第三十一回　　克永城陣擒師尚義　出夏邑法敗偽神師
032 第三十二回　　易軍門邦輔頒新令　敗管翼賊婦大交兵
033 第三十三回　　斬金花於冰歸泰岳　殺大雄殷氏出賊巢
034 第三十四回　　囚軍營手足重完聚　試降書將帥各成功
035 第三十五回　　沐皇恩文武雙得意　搬家眷夫婦兩團圓
036 第三十六回　　走長莊賣法賺公子　入大罐舉手避癡兒
037 第三十七回　　連城璧盟心修古洞　溫如玉破產出州監
038 第三十八回　　冷於冰施法劫貪墨　猿不邪採藥寄仙書
